,0
280,3132593501522.2393
281,3266764117507.8096
282,3535105349478.95
283,3956784428290.742
284,3324051819504.936
285,3429471589207.8843
286,3563642205193.454
287,3831983437164.5938
288,4253662515976.3867
289,3337520963420.578
290,3442940733123.5264
291,3577111349109.096
292,3845452581080.237
293,4267131659892.029
294,3241632456240.568
295,3347052225943.5176
296,3481222841929.0864
297,3749564073900.227
298,4171243152712.019
299,2648641797748.6816
300,2754061567451.6294
301,2888232183437.1997
302,3156573415408.3394
303,3578252494220.1323
304,2611230522932.3013
305,2716650292635.249
306,2850820908620.8193
307,3119162140591.9595
308,3540841219403.7524
309,2670702058803.0093
310,2776121828505.958
311,2910292444491.528
312,3178633676462.668
313,3600312755274.4604
314,2501893544210.7056
315,2607313313913.654
316,2741483929899.2236
317,3009825161870.3643
318,3431504240682.1562
319,2610232342502.48
320,2715652112205.4277
321,2849822728190.998
322,3118163960162.138
323,3539843038973.931
324,2510564977109.939
325,2615984746812.887
326,2750155362798.4575
327,3018496594769.5977
328,3440175673581.389
329,2712668343590.954
330,2818088113293.902
331,2952258729279.4717
332,3220599961250.6123
333,3642279040062.405
334,2812425869686.605
335,2917845639389.553
336,3052016255375.1235
337,3320357487346.263
338,3742036566158.056
339,2917932003460.2783
340,3023351773163.2266
341,3157522389148.7964
342,3425863621119.936
343,3847542699931.728
344,3280902540160.839
345,3386322309863.7866
346,3520492925849.3574
347,3788834157820.498
348,4210513236632.29
349,3288573631759.017
350,3393993401461.964
351,3528164017447.534
352,3796505249418.675
353,4218184328230.467
354,2845123199043.306
355,2950542968746.254
356,3084713584731.824
357,3353054816702.9644
358,3774733895514.757
359,3198492641574.529
360,3303912411277.476
361,3438083027263.047
362,3706424259234.1875
363,4128103338045.98
364,3292529221788.3984
365,3397948991491.3457
366,3532119607476.917
367,3800460839448.0576
368,4222139918259.8496
369,2842072510323.509
370,2947492280026.4565
371,3081662896012.027
372,3350004127983.168
373,3771683206794.9595
374,2082624788345.135
375,2188044558048.0835
376,2322215174033.653
377,2590556406004.794
378,3012235484816.586
379,1645537589345.1255
380,2209921682743.86
381,3024291419377.6733
382,2709325174972.574
383,1955142310927.7566
384,1896944445149.9062
385,1944701748055.747
386,2104834169757.7542
387,1992666687927.0972
388,3274529385485.934
389,2211052132709.5103
390,2690146675692.762
391,3744109958174.93
392,3767034692208.273
393,3906079918027.683
394,1942626924413.971
395,4002829398192.235
396,1897902760804.5398
397,4335261384276.4634
398,4466536921272.175
399,3628233307049.4814
400,4515449685406.005
401,1909235305642.9868
402,3721157071930.651
403,3025503016619.922
404,4792423884432.151
405,1799049577107.7944
406,2971361569266.1562
407,4278572802091.371
408,4164565637105.1416
409,4259413289230.9854
410,3349854483377.7256
411,3809881155259.7256
412,3995809065231.141
413,4197083372610.8545
414,2916818401554.4854
415,2831722966755.9155
416,3332675479958.495
417,2691662275505.575
418,3063571864332.341
419,3076781338969.1045
420,4383992571794.3184
421,4269985406808.09
422,4364833058933.9336
423,3455274253080.673
424,3915300924962.673
425,4101228834934.089
426,4302503142313.802
427,3022238171257.4326
428,2937142736458.8633
429,3438095249661.4424
430,2797082045208.5225
431,3168991634035.289
432,3210951954954.6743
433,4518163187779.889
434,4404156022793.659
435,4499003674919.503
436,3589444869066.244
437,4049471540948.2437
438,4235399450919.6587
439,4436673758299.372
440,3156408787243.004
441,3071313352444.434
442,3572265865647.0127
443,2931252661194.093
444,3303162250020.859
445,3479293186925.8145
446,4786504419751.029
447,4672497254764.8
448,4767344906890.644
449,3857786101037.3843
450,4317812772919.385
451,4503740682890.799
452,4705014990270.513
453,3424750019214.143
454,3339654584415.5747
455,3840607097618.153
456,3199593893165.234
457,3571503481992.0
458,3900972265737.6064
459,5208183498562.821
460,5094176333576.592
461,5189023985702.436
462,4279465179849.1763
463,4739491851731.176
464,4925419761702.592
465,5126694069082.305
466,3846429098025.9355
467,3761333663227.366
468,4262286176429.9453
469,3621272971977.0254
470,3993182560803.791
471,2916217777835.48
472,2916217777835.48
473,2916217777835.48
474,2903759674325.251
475,2676627392146.962
476,2676627392146.962
477,2676627392146.962
478,2714961853857.125
479,2714961853857.125
480,2714961853857.125
481,3184559009806.6206
482,3184559009806.6206
483,3184559009806.6206
484,3172100906296.3906
485,2999418910022.1777
486,2995585647403.6455
487,2973544387347.0854
488,2759828524333.6597
489,2755995261715.1274
490,2733954001658.568
491,2798162986043.822
492,2794329723425.29
493,2772288463368.7305
494,3267760141993.3174
495,3263926879374.7856
496,3241885619318.226
497,2892002438674.6685
498,2884335913437.6035
499,3743265287896.685
500,3657107955955.7754
501,3503674902208.167
502,3542009363918.328
503,4011606519867.825
504,3417517570267.257
505,3455852031977.4204
506,3925449187926.916
507,3528609394871.1333
508,3288926444730.326
509,3436609439275.001
510,3327353470892.7783
511,3796950626842.2744
512,3197019053586.4824
513,3235353515296.646
514,3704950671246.142
515,3712383617250.905
516,3472793231562.3867
517,3511127693272.5503
518,3980724849222.046
519,3528515983125.5083
520,3288925597436.9897
521,3327260059147.1533
522,3796857215096.648
523,3378840779145.5923
524,3378840779145.5923
525,3139250393457.0737
526,3139250393457.0737
527,3177584855167.2363
528,3177584855167.2363
529,3647182011116.733
530,3647182011116.733
531,2355103204275.6973
532,2699781555432.624
533,1866007013236.5806
534,1866102471851.813
535,2699877014047.8555
536,2105692857540.3308
537,2105788605510.536
538,1904532681532.1814
539,2699972762018.0615
540,1866198219822.0186
541,1866046503127.9827
542,2699752850079.243
543,1904312769593.3635
544,1904341474946.744
545,2105568693571.718
546,2105636888816.5007
547,1904380964838.1455
548,2105597398925.0986
549,2699821045324.026
550,1904436933561.9758
551,1865978307883.2002
552,4126384577413.2656
553,5287927636831.914
554,3365584596830.166
555,4659237587354.209
556,4825993369339.775
557,3475806950887.04
558,3586987784232.302
559,5489183560810.269
560,3455659397260.8394
561,2045236252293.7131
562,1843964733527.5747
563,4872954659276.761
564,4327642655065.9272
565,1843891539955.7888
566,3677062874865.396
567,3144162864303.6255
568,1843980328315.3582
569,2045068906938.332
570,2045126416645.6165
571,5323385949564.917
572,3254403473282.484
573,4064279286646.42
574,3793806303431.262
575,2045135205444.4365
576,1843918221020.8901
577,3995070988567.2705
578,4624737445361.419
579,3345418788281.9814
580,3698168599231.811
581,4457981663375.853
582,3535269235895.453
583,5074210583255.117
584,5122130025586.562
585,3899424523210.1655
586,1843812982959.977
587,3566840520808.522
588,3033001970354.2773
589,2045174144999.2449
590,1843902145647.5383
591,2045132744710.3445
592,2045220657505.9292
593,1843899684913.4453
594,3863023362668.065
595,3234255901310.5293
596,3334012530558.136
597,3788243708210.6577
598,1913993291978.6328
599,1952327753688.7957
600,2019413061681.5808
601,2153583677667.1511
602,2747767834174.676
603,3610293222653.3423
604,5383262076748.376
605,1885113561135.5798
606,1990533330838.5273
607,2124703946824.0977
608,2718888103331.623
609,3571830169988.822
610,5344799024083.856
611,1961817297304.0693
612,2095987913289.6394
613,1856397527601.1213
614,2690172069797.165
615,3552697458275.831
616,5277748235233.161
617,1923474993811.8076
618,2757249536007.8506
619,3619774924486.516
620,5392743778581.551
621,3571921493444.6724
622,5344890347539.707
623,1875621562769.9631
624,2115211948458.4814
625,2709396104966.0063
626,1913864701024.2761
627,1789182602976.3484
628,1990415662773.247
629,1798769785008.937
630,2000002844805.8357
631,1827597719157.2908
632,2028853643135.6455
633,1817949265752.0422
634,2019205189730.3975
635,1827566639454.6067
636,2028822563432.9617
637,1846829494384.0063
638,2048085418362.3608
639,2057702792064.925
640,1856446868086.5696
641,1808359939220.2222
642,2009592999017.1213
643,1846798414681.3215
644,2048054338659.6763
645,4940162415572.12
646,4408413919528.935
647,4961217568706.52
648,4247274102617.774
649,4373768292262.612
650,4572162934079.859
651,3151010965919.407
652,3331990955906.748
653,4165790759595.06
654,3977978146136.1343
655,4613364690355.529
656,3140437257252.15
657,3771930351039.262
658,3964721411138.9346
659,4366119803698.306
660,4357458779561.2817
661,4046007434100.2236
662,4367033412198.996
663,4022025783252.4624
664,3612973839043.054
665,3015839595903.3794
666,4625787086140.714
667,4865377471829.231
668,2843322672352.627
669,3705919739539.1333
670,4165977335117.2905
671,3408796605291.7754
672,2977502086271.6167
673,3368573882319.3945
674,3370462143581.6123
675,3984791624585.275
676,4412105801894.374
677,3370328465538.511
678,3945510125227.6504
679,3569829806297.7495
680,3571600391105.2676
681,3217099935898.321
682,3390607468077.749
683,4616209939759.988
684,5459561628336.758
685,3820757710585.905
686,3926386949428.7725
687,4204236685777.6562
688,3532320915840.7437
689,4165772754731.9067
690,3744254201249.2954
691,3330239420609.2314
692,4164013962805.275
693,3082927054122.45
694,3610052529270.13
695,3763272996570.9014
696,3189348475551.1704
697,3570658425472.507
698,5141418339550.477
699,4901827953861.958
700,3782420200954.1416
701,4539694281735.175
702,3178771718962.312
703,3380027642940.6685
704,3574639377332.892
705,3738368710937.616
706,3677111210629.9756
707,3974211799448.193
708,3523663561372.3813
709,3811284092405.845
710,3814229763021.41
711,4760161491624.815
712,4664121547850.876
713,4127435245100.144
714,2881660181984.3906
715,4841458259125.299
716,3562001071004.144
717,4007669924468.461
718,3776706220569.379
719,5207548846863.054
720,5735602496058.001
721,1865944080101.806
722,1904278541811.969
723,2105534465790.3242
724,2699718622297.849
725,2987227085124.0713
726,1865933036800.202
727,1904267498510.3645
728,2105523422488.7202
729,2699707578996.245
730,2987216041822.467
731,1865899062848.1294
732,1904233524558.2925
733,2105489448536.6475
734,2699673605044.1724
735,2987182067870.3945
736,1846777934149.5588
737,2048010993946.4578
738,1846767673105.5703
739,2048003965169.0327
740,1846877236375.6497
741,2105776335008.3423
742,2699960491515.8677
743,2048112603315.9387
744,1846767810321.7214
745,2038417548120.9226
746,1923556438576.444
747,1942721491890.4348
748,1981051598518.415
749,2048131425673.6873
750,2182302041659.2578
751,1722289090200.0676
752,1789374398192.8528
753,1923545014178.423
754,2517729170685.948
755,3380254559164.6133
756,4242779947643.279
757,2009824986764.7754
758,2076910294757.5608
759,2211080910743.1313
760,2479422142714.271
761,2805265067250.6562
762,3667790455729.322
763,1789429897398.4897
764,1808597128253.5715
765,1846931589963.734
766,1914016897956.5193
767,2048187513942.0894
768,3562299758545.7036
769,5287350535503.034
770,1865917235828.5981
771,1865999827870.9944
772,1846841484826.7395
773,2048097408805.0945
774,1846678424721.5833
775,2048000870118.6204
776,1837210669816.8066
777,2038466593795.1614
778,1837197300385.0435
779,2038453224363.3992
780,2038428125899.431
781,1904279947757.2173
782,2105517327552.3564
783,2699701484059.8813
784,1866152559217.2715
785,1904334289581.1575
786,2105590213559.5125
787,2699774370067.038
788,1904251697538.7612
789,2105507621517.116
790,2699691778024.641
791,3562217166503.307
792,5287267943460.637
793,2076859064342.2932
794,3667739225314.0537
795,3533590460171.042
796,2776486198166.783
797,3639011586645.448
798,4501536975124.114
799,1683954628489.9045
800,1837193023476.057
801,2038426083272.9556
802,2038480478463.005
803,1866142849972.4895
804,2105733235661.0076
805,2699917392168.5327
806,1837258163005.2734
807,2038514086983.628
808,1846776345473.755
809,2038426083272.9556
810,1904314748177.7356
811,2105570672156.0903
812,2699754828663.6157
813,3562280217142.281
814,5287330994099.613
815,1837290529496.3328
816,1875624991206.496
817,1942710299199.281
818,2076880915184.851
819,2671065071692.3765
820,4396115848649.708
821,2076879695629.8838
822,2211050311615.454
823,3667759856601.6455
